# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	447	704	-							IRT44_RS00005	258		
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	447	704	-	WP_230077227.1	WP_230077227.1		hypothetical protein			IRT44_RS00005	258	85	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	691	1086	+							IRT44_RS00010	396		
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	691	1086	+	WP_230077228.1	WP_230077228.1		alpha/beta hydrolase-fold protein			IRT44_RS00010	396	131	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	1089	1247	-							IRT44_RS00015	159		old_locus_tag=IRT44_00010
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	1089	1247	-	WP_171564494.1	WP_171564494.1		hypothetical protein			IRT44_RS00015	159	52	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	1400	1849	+							IRT44_RS00020	450		old_locus_tag=IRT44_00015
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	1400	1849	+	WP_230077229.1	WP_230077229.1		2'-5' RNA ligase family protein			IRT44_RS00020	450	149	
gene	pseudogene	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	2016	2446	+							IRT44_RS00025	431		partial;pseudo;old_locus_tag=IRT44_00020
CDS	without_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	2016	2446	+				GNAT family N-acetyltransferase			IRT44_RS00025	431		partial;pseudo
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	2509	2787	-							IRT44_RS00030	279		
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	2509	2787	-	WP_230077230.1	WP_230077230.1		hypothetical protein			IRT44_RS00030	279	92	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	2811	3251	-							IRT44_RS00035	441		
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	2811	3251	-	WP_230077231.1	WP_230077231.1		hypothetical protein			IRT44_RS00035	441	146	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	3702	3920	-							IRT44_RS00040	219		
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	3702	3920	-	WP_230077232.1	WP_230077232.1		hypothetical protein			IRT44_RS00040	219	72	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	3955	4605	-							IRT44_RS00045	651		old_locus_tag=IRT44_00030
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	3955	4605	-	WP_230077233.1	WP_230077233.1		MBL fold metallo-hydrolase			IRT44_RS00045	651	216	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	4651	5286	-							IRT44_RS00050	636		old_locus_tag=IRT44_00035
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	4651	5286	-	WP_230077224.1	WP_230077224.1		YitT family protein			IRT44_RS00050	636	211	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	5547	6917	+							IRT44_RS00055	1371		old_locus_tag=IRT44_00040
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	5547	6917	+	WP_171564500.1	WP_171564500.1		hemolysin family protein			IRT44_RS00055	1371	456	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	7402	9768	+							IRT44_RS00060	2367		old_locus_tag=IRT44_00045
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	7402	9768	+	WP_230077234.1	WP_230077234.1		ATP-dependent helicase			IRT44_RS00060	2367	788	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	9998	10771	-					fabI		IRT44_RS00065	774		old_locus_tag=IRT44_00050
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	9998	10771	-	WP_230077235.1	WP_230077235.1		enoyl-ACP reductase FabI	fabI		IRT44_RS00065	774	257	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	10878	11045	-							IRT44_RS00070	168		old_locus_tag=IRT44_00055
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	10878	11045	-	WP_171567024.1	WP_171567024.1		hypothetical protein			IRT44_RS00070	168	55	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	11118	11840	-							IRT44_RS00075	723		old_locus_tag=IRT44_00060
